proper names,NEC+,Designation,HIP,Bayer ID,Simbad spelling,Constellation,Origin,Language,Reference,Date of Adoption,image,image_source,RA,DEC,mag
Kalausi,"10,047",HD 83443,47202,,Kalausi,Vel,The word Kalausi means a very strong whirling column of wind in the Dholuo language of Kenya.,Dholuo,2019 IAU100 NameExoWorlds,2019/12/17,,,144.299282,-43.272204,8.23
Kamuy,"10,087",HD 145457,79219,,Kamuy,CrB,Kamuy is a word in the Ainu language denoting a supernatural entity possessing spiritual energy.,Ainu,2019 IAU100 NameExoWorlds,2019/12/17,,,242.51631,26.742748,6.57
Karaka,"10,085",HD 137388,76351,,Karaka,Aps,"Karaka is the word in the Māori language for a plant endemic to New Zealand that produces a bright orange, fleshy fruit.",Māori,2019 IAU100 NameExoWorlds,2019/12/17,,,233.916337,-80.204594,8.71
Kaveh,"10,104",HD 175541,92895,,Kaveh,Ser,"Kaveh is one of the heroes of Shahnameh, the epic poem composed by Persian poet Ferdowsi between 977 and 1010 CE. Kaveh is a blacksmith who symbolises justice.",Persian,2019 IAU100 NameExoWorlds,2019/12/17,,,283.92035,4.265323,8.02
Koeia,"10,009",HIP 12961,12961,,Koeia,Eri,Koeia was the word for star in the language of the Taíno Indigenous People of the Caribbean.,Taíno,2019 IAU100 NameExoWorlds,2019/12/17,,,41.678695,-23.08661,10.25
Koit,"10,037",XO-4,,,Koit,Lyn,Koit is Estonian for the time when the Sun rises in the morning (dawn).,Estonian,2019 IAU100 NameExoWorlds,2019/12/17,,,110.388168,58.268087,10.78
Lerna,"10,045",HAT-P-42,,,Lerna,Hya,"Lerna was the name of a lake in the eastern Peloponnese, where the Lernaean Hydra, an immortal mythical nine-headed beast lived. The star lies in the constellation of Hydra.",Greek,2019 IAU100 NameExoWorlds,2019/12/17,,,135.344371,6.097227,12
Liesma,"10,074",HD 118203,66192,,Liesma,UMa,"Liesma means flame, and it is the name of a character from the Latvian poem Staburags un Liesma.",Lavtian,2019 IAU100 NameExoWorlds,2019/12/17,,,203.510581,53.728527,8.05
Lionrock,"10,118",HD 212771,110813,,Lionrock,Aqr,Lion Rock is a lion-shaped peak overlooking Hong Kong and is a cultural symbol with deep respect from the local community.,English,2019 IAU100 NameExoWorlds,2019/12/17,,,336.762801,-17.263656,7.6
Lucilinburhuc,"10,026",HD 45350,30860,,Lucilinburhuc,Aur,"The Lucilinburhuc fortress was built in 963 by the founder of Luxembourg, Count Siegfried.",Luxembourgish,2019 IAU100 NameExoWorlds,2019/12/17,,,97.190463,38.962962,7.89
Lusitânia,"10,027",HD 45652,30905,,Lusitania,Mon,Lusitânia is the ancient name of the western region of the Iberic Peninsula where the Lusitanian people lived and where most of modern-day Portugal is situated.,NEWC,2019 IAU100 NameExoWorlds,2019/12/17,,,97.304966,10.933891,8.1
Macondo,"10,054",HD 93083,52521,,Macondo,Ant,Macondo is the mythical village of the novel One Hundred Years of Solitude (Cien años de soledad) the classic novel by Gabriel García Marquez. Macondo is a fictional place where magic and reality are mixed.,Spanish,2019 IAU100 NameExoWorlds,2019/12/17,,,161.087146,-33.577024,8.3
Mago,"1,700",HD 32518,24003,,Mago,Cam,Mago is a National Park in Ethiopia noted for its giraffes. The star also happens to be in the constellation of Camelopardis (the giraffe).,Ethiopian,2019 IAU100 NameExoWorlds,2019/12/17,,,77.40300153,69.63940411,6.42
Mahsati,"10,093",HD 152581,82651,,Mahsati,Oph,Mahsati Ganjavi (1089–1159) is one of the brightest shining stars of Azerbaijani poetry. She was said to have associated with both Omar Khayyam and Nizami and was well educated and talented and played numerous musical instruments.,Persian,2019 IAU100 NameExoWorlds,2019/12/17,,,253.431594,11.973748,8.38
Malmok,"10,082",WASP-39,,V732 Vir,Malmok,Vir,Malmok is an indigenous name given to a beach in Aruba with a narrow sandy stretch that interrupts the limestone and rocky terrace along the coast. Its shallow clear Caribbean waters make it a popular snorkelling spot.,Papiamento,2019 IAU100 NameExoWorlds,2019/12/17,,,217.32673,-3.444501,11.89
Márohu,"10,126",WASP-6,,,Marohu,Aqr,"Márohu the god of drought is the protector of the Sun and is engraved at a higher position on the stalagmite than Boinayel in the El Puente cave, where the Sun makes its way down every 21 December.",Taíno,2019 IAU100 NameExoWorlds,2019/12/17,,,348.157237,-22.673966,11.98
Moldoveanu,"10,092",XO-1,,,Moldoveanu,CrB,Moldoveanu is the highest peak in Romania of the Făgăraș mountain range with an altitude of 2544 metres.,Romanian,2019 IAU100 NameExoWorlds,2019/12/17,,,240.54936,28.169561,11.28
Mönch,"10,083",HD 130322,72339,,Monch,Vir,Mönch is one of the prominent peaks of the Bernese Alps in Switzerland.,German,2019 IAU100 NameExoWorlds,2019/12/17,,,221.886361,-0.281474,8.04
Montuno,"10,022",WASP-79,,,Montuno,Eri,"Montuno is the traditional costume the man wears in the “El Punto”, a Panamanian dance in which a man and woman dance to the sound of drums.",Spanish,2019 IAU100 NameExoWorlds,2019/12/17,,,66.370903,-30.600447,10.06
Morava,"10,130",WASP-60,,,Morava,Peg,Morava is the longest river system in Serbia.,Serbian,2019 IAU100 NameExoWorlds,2019/12/17,,,356.666561,31.155937,12.18
Moriah,"10,112",HAT-P-23,,,Moriah,Del,Moriah is an ancient name for the mountain within the Old City of Jerusalem.,NEWC,2019 IAU100 NameExoWorlds,2019/12/17,,,306.123848,16.76217,12.17
Mouhoun,"10,020",HD 30856,22491,,Mouhoun,Eri,"Mouhoun, also called Volta Noire, is the largest river in Burkina Faso and plays an important role in the lives of the people in the areas it passes through.",NEWC,2019 IAU100 NameExoWorlds,2019/12/17,,,72.574423,-24.368843,7.91
Mpingo,"10,007",WASP-71,,,Mpingo,Cet,Mpingo is a famous tree that grows in southern Tanzania and produces ebony wood used for musical instruments and curios.,NEWC,2019 IAU100 NameExoWorlds,2019/12/17,,,29.26335,0.758855,10.57
Muspelheim,"10,011",HAT-P-29,,,Muspelheim,Per,"Muspelheim is the Norse mythological realm of fire. The first gods used the sparks of Muspelheim to form the sun, moon, planets, and stars.",Old Norse,2019 IAU100 NameExoWorlds,2019/12/17,,,33.13116,51.778767,11.73
Naledi,"10,024",WASP-62,,,Naledi,Dor,"Naledi means star in the Sesotho, SeTswana and SePedi languages and is typically given as a name to girls in the hope that they will bring light, joy and peace to their communities.","Sesotho, Se Tswana and SePedi",2019 IAU100 NameExoWorlds,2019/12/17,,,87.139974,-63.988441,10.12
Násti,"10,040",HD 68988,40687,,Nasti,UMa,Násti means star in the Northern Sami language of Norway.,Northern Sami,2019 IAU100 NameExoWorlds,2019/12/17,,,124.592386,61.460721,8.2
Natasha,"10,048",HD 85390,48235,,Natasha,Vel,"Natasha means ""thank you"" in many languages of Zambia.",Zambian,2019 IAU100 NameExoWorlds,2019/12/17,,,147.510404,-49.790266,8.54
Nenque,"10,004",HD 6434,5054,,Nenque,Phe,Nenque means the Sun in the language spoken by the Indigenous Waorani tribes of the Amazon regions of Ecuador.,Waorani,2019 IAU100 NameExoWorlds,2019/12/17,,,16.167293,-39.488218,7.72
Nervia,"10,029",HD 49674,32916,,Nervia,Aur,"Nervia, adapted from Nervii, was a prominent Belgian Celtic tribe.",Latin,2019 IAU100 NameExoWorlds,2019/12/17,,,102.877151,40.867757,8.1
Nikawiy,"10,084",HD 136418,74961,,Nikawiy,Boo,Nikawiy is the word for mother in the Indigenous Cree language of Canada.,Cree language,2019 IAU100 NameExoWorlds,2019/12/17,,,229.77576,41.733206,7.88
Nosaxa,"10,028",HD 48265,31895,,Nosaxa,Pup,"Nosaxa means spring in the Moqoit language. The word comes from a combination of nosahuec, which means renew, and ñaaxa, which means year.",Moqoit,2019 IAU100 NameExoWorlds,2019/12/17,,,100.007196,-48.541956,8.05
Nushagak,"10,010",HD 17156,13192,,Nushagak,Cas,"Nushagak is a regional river near Dilingham, Alaska, which is famous for its wild salmon that sustain local Indigenous communities.",NEWC,2019 IAU100 NameExoWorlds,2019/12/17,,,42.435361,71.753231,8.17
Nyamien,"10,076",WASP-15,,,Nyamien,Cen,Nyamien refers to the supreme creator deity of Akan mythology.,NEWC,2019 IAU100 NameExoWorlds,2019/12/17,,,208.927967,-32.159615,10.8
Parumleo,"10,000",WASP-32,,,Parumleo,Psc,"Parumleo is a modern Pseudo-Latin term with the intended meaning ""little lion"", symbolising Singapore's struggle for independence. The name is a modern invention.",Latin,2019 IAU100 NameExoWorlds,2019/12/17,,,3.961699,1.200441,11.41
Petra,"10,109",WASP-80,,,Petra,Aql,Petra is a historical and archaeological city in southern Jordan and a UNESCO World Heritage site.,Greek,2019 IAU100 NameExoWorlds,2019/12/17,2018/8/10,,303.167372,-2.14422,11.27
Phoenicia,"10,111",HD 192263,99711,V1703 Aql,Phoenicia,Aql,Phoenicia was an ancient thalassocratic civilisation of the Mediterranean that originated from the area of modern-day Lebanon.,Latin,2019 IAU100 NameExoWorlds,2019/12/17,,,303.499356,-0.866881,7.79
Pincoya,"10,102",HD 164604,88414,,Pincoya,Sgr,Pincoya is a female water spirit from southern Chilean mythology who is said to bring drowned sailors to the Caleuche so that they can live in the afterlife.,NEWC,2019 IAU100 NameExoWorlds,2019/12/17,,,270.778888,-28.560655,9.66
Pipoltr,"10,101",TrES-3 Parent Star,,V1434 Her,Pipoltr,Her,"In the local Triesenberg dialect of German, Pipoltr is a bright and visible butterfly, alluding to the properties of a star.",German,2019 IAU100 NameExoWorlds,2019/12/17,,,268.029244,37.546177,12.2
Poerava,"10,123",HD 221287,116084,,Poerava,Tuc,Poerava is the word in the Cook Islands Maori language for a large mystical black pearl of utter beauty and perfection.,Cook Islands Maori,2019 IAU100 NameExoWorlds,2019/12/17,,,352.834742,-58.209731,7.82
Rapeto,"10,096",HD 153950,83547,,Rapeto,Sco,Rapeto is a giant creature from Malagasy tales.,Malagasy,2019 IAU100 NameExoWorlds,2019/12/17,,,256.128629,-43.30977,7.39
Rosalíadecastro,"10,091",HD 149143,81022,,Rosalíadecastro,Oph,"Rosalia de Castro was a significant figure of Galician culture and prominent Spanish writer, whose pioneeting work often referenced the night and celestial objects.",NEWC,2019 IAU100 NameExoWorlds,2019/12/17,,,248.212712,2.084828,7.89
Sagarmatha,"10,061",HD 100777,56572,,Sagarmatha,Leo,Sagarmatha is the Nepali name for the highest peak in the world (also known as Mount Everest) and symbol of national pride of Nepal.,Nepali,2019 IAU100 NameExoWorlds,2019/12/17,,,173.964679,-4.755695,8.42
Sāmaya,"10,114",HD 205739,106824,,Samaya,PsA,Sāmaya means peace in the Sinhalese language.,Sinhalese,2019 IAU100 NameExoWorlds,2019/12/17,,,324.535016,-31.737484,8.56
Sansuna,"10,110",HAT-P-34,,,Sansuna,Sge,Sansuna is the name of the mythological giant from traditional Maltese folk tales that carried the stones of the Gozo megalithic temples on her head.,Maltese,2019 IAU100 NameExoWorlds,2019/12/17,,,303.195361,18.104833,10.31
Shama,"10,060",HD 99109,55664,,Shama,Leo,"Shama is an Urdu literary term meaning a small lamp or flame, symbolic of the light of the star.",Urdu,2019 IAU100 NameExoWorlds,2019/12/17,,,171.072328,-1.529073,9.1
Sharjah,"10,088",HIP 79431,79431,,Sharjah,Sco,"Sharjah is the cultural capital of United Arab Emirates, and considered the city of knowledge due to its many educational centers, institutes, museums, libraries and heritage centers.",Arabic,2019 IAU100 NameExoWorlds,2019/12/17,,,243.174084,-18.875503,11.34
Sika,"10,107",HD 181720,95262,,Sika,Sgr,Sika means gold in the Ewe language and gold is one of Ghana's principal exports.,Ewe,2019 IAU100 NameExoWorlds,2019/12/17,,,290.72077,-32.919053,7.84
Solaris,"10,117",BD+14 4559,104780,,Solaris,Peg,Solaris is the title of a 1961 science fiction novel about an ocean-covered exoplanet by Polish writer Stanislaw Lem.,fictional,2019 IAU100 NameExoWorlds,2019/12/17,,,318.399959,14.689385,9.78
Sterrennacht,"10,129",HAT-P-6,,,Sterrennacht,And,The Sterrennacht (Starry Night) is a world-famous painting by Dutch grand master Van Gogh that was painted in France in 1889 and now belongs to the permanent collection of New York's Museum of Modern Art.,Dutch,2019 IAU100 NameExoWorlds,2019/12/17,,,354.774209,42.465973,10.54
Stribor,"10,042",HD 75898,43674,,Stribor,Lyn,"Stribor is God of winds in Slavic mythology, as well as a literature character in the book Priče iz davnine (Croatian Tales of Long Ago) by the Croatian author Ivana Brlić-Mažuranić.",Slavic languages,2019 IAU100 NameExoWorlds,2019/12/17,,,133.461689,33.056812,8.03
Taika,"10,119",HAT-P-40,,,Taika,Lac,Taika means peace in the Lithuanian language.,Lithuanian,2019 IAU100 NameExoWorlds,2019/12/17,,,335.512865,45.457366,11.35
Tangra,"10,125",WASP-21,,,Tangra,Peg,Tangra is the supreme celestial god that early Bulgars worshiped.,Bulgarian,2019 IAU100 NameExoWorlds,2019/12/17,,,347.492723,18.396078,11.4
Tapecue,"10,034",HD 63765,38041,,Tapecue,Car,Tapecue means eternal path in Guarani and represents the Milky Way through which the first inhabitants of the Earth arrived and could return.,Guarani,2019 IAU100 NameExoWorlds,2019/12/17,,,116.957168,-54.264144,8.1
Tevel,"10,036",HAT-P-9,,,Tevel,Aur,"Tevel means Universe or everything and begins with the letter Taf, the last letter in the Hebrew alphabet.",Hebrew,2019 IAU100 NameExoWorlds,2019/12/17,,,110.168568,37.140651,12.15
Timir,"10,089",HD 148427,80687,,Timir,Oph,"Timir means darkness in Bengali language, alluding to the star being far away in the darkness of space.",Bengali,2019 IAU100 NameExoWorlds,2019/12/17,,,247.117296,-13.399636,6.89
Tislit,"10,044",WASP-161,,,Tislit,Pup,Tislit is the name of a lake in the Atlas mountains of Morocco. It means the bride in the Amazigh language and it is associated with a heartbroken beautiful girl in an ancient local legend.,Amazigh,2019 IAU100 NameExoWorlds,2019/12/17,,,126.337846,-11.500986,10.77
Tojil,"10,018",WASP-22,,,Tojil,Eri,"Tojil is the name of one of the Mayan deities related to rain, storms, and fire.",Mayan,2019 IAU100 NameExoWorlds,2019/12/17,,,52.818029,-23.819678,11.58
Tuiren,"10,069",HAT-P-36,,,Tuiren,CVn,"Tuiren was the aunt of the hunterwarrior Fionn mac Cumhaill of Irish legend, who was turned into a hound by the jealous fairy Uchtdealbh.",Old Irish,2019 IAU100 NameExoWorlds,2019/12/17,,,188.266276,44.915333,12.09
Tupã,"10,067",HD 108147,60644,,Tupa,Cru,Tupã is one of four principle gods of the Guarani Cosmogony in popular Paraguayan folklore that helped the supreme god Ñamandu to create the Universe.,Guarani,2019 IAU100 NameExoWorlds,2019/12/17,,,186.442779,-64.022088,6.99
Tupi,"10,017",HD 23079,17096,,Tupi,Ret,"Tupi is the name of the most populous Indigenous People living on the eastern coast of South America, before the Portuguese arrived in the 16th century.",Tupi languages,2019 IAU100 NameExoWorlds,2019/12/17,,,54.929567,-52.915838,7.12
Uklun,"10,062",HD 102117,57291,,Uklun,Cen,Uklun means us or we in the Pitkern language of the people of Pitcairn Islands.,Pitkern,2019 IAU100 NameExoWorlds,2019/12/17,,,176.210254,-58.70371,7.47
Uruk,"10,108",HD 231701,96078,,Uruk,Sge,Uruk was an ancient city of the Sumer and Babylonian civilizations in Mesopotamia situated along an ancient channel of the Euphrates river in modern-day Iraq.,Akkadian,2019 IAU100 NameExoWorlds,2019/12/17,,,293.017338,16.474289,8.97
Xihe,"7,058",HD 173416,91852,,Xihe,Lyr,Xihe (羲和) is the goddess of the sun in the Chinese mythology and also represents the earliest astronomers and developers of calendars in ancient China.,Chinese,2019 IAU100 NameExoWorlds,2019/12/17,,,280.9004553,36.55660634,6.037
Gudja,"5,888",HR 5879,77450,κ Ser,Gudja,Ser,"Gudja is the Wardaman name of κ Ser, from the Northern Territory, Australia. Gudja is a Water Goanna, related to birth and rebirth. It is part of the bright trio of stars in Serpens Caput, which also include Munin the Rock Cod (γ Ser) and the Mungamungga birthing place (β Ser), likened to a little hospital. Gudja is involved with the birthing process, which includes sacred ritual practices. The Spiritual Women at the birthing and blessing site in Serpens Caput are connected to the sacred areas of Crux and enacted at Munin Rock and Yinggalarri.",Aboriginal/ Wardaman,"Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW. pp. 107-113.",2018/08/10,,,237.184905,18.14156491,4.09
Guniibuu,"6,441",* 36 Oph,84405,36 Oph,Guniibuu,Oph,Guniibuu is the Kamilaroi/Euahlayi name for the robin red-breast bird (Petroica boodang). A traditional story links Guniibuu with Gidjirrigaa (Budgerigar) the star κ Sco.,Aboriginal/ Kamilaroi/ Euahlayi,"Fuller, R.S. (2018) Aboriginal Astronomy: The Kamilaroi and Euahlayi Peoples. Brochure accompanying planisphere for school education based on knowledge from Euahlayi elder Ghillar Michael Anderson. http://www.aboriginalastronomy.com.au/content/community/kamilaroi/",2018/08/10,,,258.8365985,-26.60169922,5.08
Imai,"4,663",HR 4656,59747,δ Cru,Imai,Cru,"The Mursi name a line of four stars imai (δ Cru), thaadoi (β Cru), waar (β Cen) and sholbi (α Cen). Their successive disappearance (heliacal setting) are used to determine when the River Omo will flood (it does this several times) and hence to determine when to plant the annual crop of cowpeas beside it (after the last flood but before the ground dries out). Imai is the Mursi name for the grass that grows along the banks of the river (Rhynchelytrum repens). It is said that when the imai star disappears, the Omo rises high enough to flatten the imai grass.",African/ Mursi,"Turton and Ruggles (1978), ""Agreeing to Disagree: the measurement of duration in a south-western Ethiopian community"", Current Anthropology, 19 (1978), 585-600.",2018/08/10,,,183.786327,-58.74892408,2.752
La Superba,"4,854",HR 4846,62223,Y CVn,La Superba,CVn,"In 1868 Secchi used ""superba"" as an adjective to describe the star Y CVn, not as a proper name of the star.
However, in 1876 Birmingham seems to have borrowed from Secchi this term and used it as a proper name of the star.
As a consequence, in 1877 Secchi himself adopted the same name.
Agnes Clerke attributed the term to Secchi, without distinguishing between the adjective and the name.
In principle, it should be attributed to both Secchi and Birmingham, in my opinion.",Latin,"Email from Ileana Chinnici, biographer of Secchi, to Ian Ridpath 2024 October 14.",2018/08/10,,,191.2826087,45.44025731,4.87
Paikauhale,"6,183",HR 6165,81266,τ Sco,Paikauhale,Sco,"Au-haele, Hōkū-‘ula and Paikauhale are documented as three stars in a line, running from north to south. Two of the most reliable sources—Mary Puku‘i and Rubellite Johnson—both identify Hōkū-‘ula as Antares (α Sco), which makes Au-haele Alniyat (σ Sco) and Paikauhale τ Sco.",Hawaii'ian,"Johnson, Mahelona and Ruggles (2015), Nā Inoa Hōkū, p. 201",2018/08/10,,,248.9706369,-28.21601709,2.81
Toliman,"5,459",HR 5460,71681,α Cen,Toliman,Cen,"Applied in recent times from some pre-Islamic Arabian name al-zulman, ""the Ostriches."" Stars in today's Centaurus were variously identified with one or more ostriches by the pre-Islamic Arabians, but what star or stars were originally designated is unknown.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",2018/08/10,,,219.8960963,-60.83752757,1.33
Alpherg,466,HR 437,7097,η Psc,Alpherg,Psc,,Arabic,--,2018/06/01,,,22.87086745,15.34583184,3.62
Alruba,"6,652",HR 6618,86782,,Alruba,Dra,"Arabic الربع Al Rubaʽ translates ""the foal"" and specifically refers to a young camel born in the spring. The name was considered traditional by WGSN in 2018 as it is listed in Allen (1899).",Arabic,"Allen (1899, 211)",2018/06/01,,,265.996537,53.80170722,5.76
Ashlesha,"3,465",HR 3482,43109,ε Hya,Ashlesha,Hya,Āśleṣā (आश्लेषा) is the Sanskrit name for an asterism in Hydra. It is considered one of the traditional Nakṣatras (lunar stations).,Sanskrit,--,2018/06/01,,,131.693801,6.41880152,3.38
Azmidi,"3,016",HR 3045,38170,ξ Pup,Azmidi,Pup,"The name is an abbreviated misspelling of a Greek term. In the Almagest, the third star in Argo is called ""The northernmost of the 2 stars close together over the little shield in the poop."" The 'little shield' in Greek is ἀσπιδίσκῃ (Aspidiske), sometimes misspelled Azmidi(ske), and the asterism may or may not consist of stars, while the Almagest lists ξ and ο Pup ""above"" it. According to Allen (1899) The Century Atlas (1897) by Benjamin E. Smith registers ι Arg (now Car) with the name ""Aspidiske"".",Greek,"cf. Allen (1899, 74), Heiberg and Ptolemy (18.., 146), Toomer and Ptolemy (1984, 388)",2018/06/01,,,117.3235565,-24.85978388,3.3
Bunda,"8,243",HR 8264,106786,ξ Aqr,Bunda,Aqr,Bunda is a Persian lunar mansion.,Persian,--,2018/06/01,,,324.4379574,-7.854201597,4.69
Elgafar,"5,405",HR 5409,70755,ϕ Vir,Elgafar,Vir,"This name is a rare transliteration of Arabic الغفر al-ghafr (or ""El-ġafr""), The Cover. This transliteration was used by Ideler (1809) but is uncommon today except in the Arabic Maghreb (northwest Africa). It is the name of the 15th lunar station (5 Oct).",Arabic,--,2018/06/01,,,217.0505788,-2.22795806,4.84
Elkurud,"2,174",HR 2177,29034,θ Col,Elkurud,Col,"Early Arab poets referred to a number of anonymous stars as الفرود al-furūd, ""the solitary ones"". Besides this known name, Allen (1899) suggested that al-furūd might have been an old transcriber's error for القرود al-qurūd ""the apes"", which he rendered ""Al Ḳurūd"". Although this idea did not receive scholarly support, WGSN used the rare transliteration Elkurud for this star, as ""Furud"" was already chosen for ζ CMa.",Arabic,--,2018/06/01,,,91.88180343,-37.25291923,4.994
Fawaris,"7,517",HR 7528,97165,δ Cyg,Fawaris,Cyg,"al-Fawāris (الفوارس), ""the Riders"" is an in indigenous Arabic asterism consisting of at least four stars. WGSN applied the name of the group to one of its members that now preserves (pars pro toto) the Indigenous heritage.",Arabic,"Allen (1899, 195).",2018/06/01,,,296.2436606,45.13081002,2.87
Felis,"3,894",HR 3923,48615,,Felis,Hya,Felis (The Cat) is the name of a constellation invented by Lalande. The name is applied to one star in the area that the constellation covered.,Latin,http://www.ianridpath.com/startales/felis.html,2018/06/01,,,148.7175187,-19.00933886,4.94
Fumalsamakah,"8,749",HR 8773,113889,β Psc,Fumalsamakah,Psc,"Arabic فم السمكة fum al-samakah means ""mouth of the fish"". The name was considered traditional by the IAU in 2016, although it does not appear in Kunitzsch and Smart (2006) and not in Allen (1899).",Arabic,--,2018/06/01,,,345.9692217,3.82004564,4.52
Heze,"5,113",HR 5107,66249,ζ Vir,Heze,Vir,"Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Bečvář (1901-1965). It could refer to God, possibly derived from Ezechiel (one of four prophets from Old Testament). Transcription to the Greek language adds ""H"" to EZE.",Greco-Hebrew,"Bečvář, A. (1948) Atlas coeli Skalnaté Pleso. Praha: Přírodověcké Vydavatelství",2018/06/01,,,203.6732973,-0.5958164161,3.38
Kraz,"4,793",HR 4786,61359,β Crv,Kraz,Crv,"Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Bečvář (1901-1965).",unknown,"Bečvář, A. (1948) Atlas coeli Skalnaté Pleso. Praha: Přírodověcké Vydavatelství",2018/06/01,,,188.5968122,-23.39676022,2.64
Nahn,"3,607",HR 3627,44946,ξ Cnc,Nahn,Cnc,"""Nahn"", the Persian term for ""Nose"", given to ξ Cnc in the NASA Memorandum by Rhoads (1971).",Persian,Rhoads (1971),2018/06/01,,,137.3397548,22.04543837,5.149
Okab,"7,245",HR 7235,93747,ζ Aql,Okab,Aql,"Zeta and Epsilon Aquilae together bore the traditional name Deneb el Okab, from an Arabic term ذنب العقاب Dhanab al-ʽuqāb ""the tail of the eagle"".",Arabic,--,2018/06/01,,,286.3525334,13.86347728,2.99
Piautos,"3,255",HR 3268,40881,λ Cnc,Piautos,Cnc,"piautos (πιαυτος) is a composition from Greek autos (""self"") and Coptic pi- (""that"") meaning ""the same one"". It occurred in a Coptic manuscript on lunar stations. Coptic is the ancient Egyptian language written in Greek letters, but lunar stations were uncommon for both the Greek and Egyptian culture. Hence, the origin of this term remains unknown.",Coptic,--,2018/06/01,,,125.1339015,24.02231115,5.93
Tarf,"3,228",HR 3249,40526,β Cnc,Tarf,Cnc,"Arabic: الطرف, Al-Ṭarf (The eyes of the lion) is one of the traditional ""Lunar Stations"". It is composed of the 2 stars: ε Leo and ο Leo. However, the name has been in common use for β Cnc as it was published in the Yale Bright Star Catalogue.",Arabic,"Hoffleit, D.; Warren, W. H. (1995). ""VizieR Online Data Catalog: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)"". VizieR On-line Data Catalog: V/50. Originally Published in: 1964BS....C......0H. 5050. Bibcode:1995yCat.5050....0H.",2018/06/01,,,124.1288375,9.185543957,3.52
Ukdah,"3,818",HR 3845,47431,ι Hya,Ukdah,Hya,"Kazwini knew the stars tau1, tau2 Hya as عقدة ʽuqdah (or ʽuḳdah), Arabic ""knot"". Rhoads (1971) considers this asterism consisting of four stars: tau1, tau2, 33 and ι Hya.",Arabic,Rhoads (1971),2018/06/01,,,144.9640061,-1.142810732,3.91
Ginan,"4,704",HR 4700,60260,ε Cru,Ginan,Cru,"Ginan is the Wardaman name of ε Cru, from the Northern Territory, Australia. Ginan was found by Mulugurnden (the crayfish), who brought the red flying foxes from the underworld to the sky. The bats flew up the track of the Milky Way and traded the spiritual song with Guyaru, the Night Owl (Sirius). The bats fly through the constellation Scorpius on their way to the Southern Cross, trading songs as they go. The song informs the people about initiation, which is managed by the stars in Scorpius and related to Larawag (who ensures the appropriate personnel are present for the final stages of the ceremony). The colour of the star is reflected as the brownish-red colour of the dilly bag and its association with ceremonial fire.",Aboriginal/ Wardaman,"Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW, pp. 147-149, 153.",2017/11/17,,,185.3400339,-60.40114813,3.57
Larawag,"6,268",HR 6241,82396,ε Sco,Larawag,Sco,"Larawag is the Wardaman name of ε Sco, from the Northern Territory, Australia. Larawag is part of a procession of beings along the curve of stars in Scorpius, acting as the signal watcher, noting when only legitimate participants are present and in view of the ceremony. He gives the “All clear” signal, allowing the secret part of the ceremony to continue. This procession is related to the bats that carry Ginan.",Aboriginal/ Wardaman,"Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW, pp. 147-149.",2017/11/17,,,252.5408784,-34.29323159,2.29
Wurren,357,HR 338,5348,ζ Phe,Wurren,Phe,"Wurren is the Wardaman name of ζ Phe, from the Northern Territory, Australia. Wurren means “child” and refers to the “Little Fish”, a child of Dungdung – the life-creating Frog Lady. Wurren gives water to Gawalyan, the echidna (Achernar), which they direct Earthly initiates to carry in small bowls. The water came from a great waterfall used to cool the people during the ceremony. Just as the water at the base of the waterfall keeps people cool and rises to the sky as mist, the water in the initiates’ bowls keeps them cool and symbolically transforms into clouds that bring the wet rains of the monsoon season. These ceremonies occur in late December when the weather is hot and these stars are high in the evening sky, signalling the start of the monsoon.",Aboriginal/ Wardaman,"Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW, pp. 200, 204.",2017/11/17,,,17.0961691,-55.24576,4.014
Achird,257,HR 219,3821,η Cas,Achird,Cas,"The proper name Achird was apparently first applied to Eta Cassiopeiae in the Skalnate Pleso Atlas of the Heavens published in Slovacia in 1950, but is not known prior to that.",Contemporary,--,2017/09/05,,,12.27622748,57.81517729,3.44
Ainalrami,"7,147",HR 7116,92761,ν1 Sgr,Ainalrami,Sgr,Arabic عين الرامي ʽain al-rāmī (simplified Ainalrami) means The Eye of the Archer. It originates from Arabic Almagest translations.,Arabic,--,2017/09/05,,,283.5424087,-22.74483962,4.845
